"site","phylum","class","order","family","genus","species","Lowest_ID"
"TLM01","Arthropoda","Insecta","Coleoptera","Elmidae",,,"Elmidae"
"TLM01","Arthropoda","Insecta","Diptera","Chironomidae","Polypedilum",,"Polypedilum"
"TLM01","Arthropoda","Insecta","Diptera","Chironomidae","Rheotanytarsus",,"Rheotanytarsus"
"TLM01","Arthropoda","Insecta","Diptera","Chironomidae","Tanytarsus",,"Tanytarsus"
"TLM01","Arthropoda","Insecta","Diptera","Chironomidae",,,"Chironomidae"
"TLM01","Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Eurylophella","Eurylophella verisimilis","Eurylophella verisimilis"
"TLM01","Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Leucrocuta",,"Leucrocuta"
"TLM01","Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Stenacron",,"Stenacron"
"TLM01","Arthropoda","Insecta","Megaloptera","Corydalidae","Nigronia","Nigronia fasciatus","Nigronia fasciatus"
"TLM01","Arthropoda","Insecta","Odonata","Calopterygidae","Calopteryx","Calopteryx maculata","Calopteryx maculata"
"TLM01","Arthropoda","Insecta","Odonata","Gomphidae","Ophiogomphus",,"Ophiogomphus"
"TLM01","Arthropoda","Insecta","Trichoptera","Hydropsychidae","Cheumatopsyche",,"Cheumatopsyche"
"TLM01","Arthropoda","Insecta","Trichoptera","Hydropsychidae","Diplectrona","Diplectrona modesta","Diplectrona modesta"
"TLM01","Arthropoda","Insecta","Trichoptera","Lepidostomatidae","Lepidostoma","Lepidostoma latipenne","Lepidostoma latipenne"
"TLM01","Arthropoda","Insecta","Trichoptera","Limnephilidae","Pycnopsyche","Pycnopsyche antica","Pycnopsyche antica"
"TLM01","Arthropoda","Insecta","Coleoptera","Elmidae","Dubiraphia",,"Dubiraphia"
"TLM01","Arthropoda","Insecta","Coleoptera","Elmidae","Optioservus",,"Optioservus"
"TLM01","Arthropoda","Insecta","Coleoptera","Elmidae","Oulimnius",,"Oulimnius"
"TLM01","Arthropoda","Insecta","Diptera","Chironomidae","Tanytarsus","Tanytarsus guerlus","Tanytarsus guerlus"
"TLM01","Arthropoda","Insecta","Diptera","Dixidae",,,"Dixidae"
"TLM01","Arthropoda","Insecta","Ephemeroptera","Baetidae","Acerpenna",,"Acerpenna"
"TLM01","Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",,"Baetis"
"TLM01","Arthropoda","Insecta","Ephemeroptera","Baetidae",,,"Baetidae"
"TLM01","Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Eurylophella","Eurylophella bicolor","Eurylophella bicolor"
"TLM01","Arthropoda","Insecta","Ephemeroptera","Ephemeridae","Hexagenia",,"Hexagenia"
"TLM01","Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Maccaffertium","Maccaffertium ithaca","Maccaffertium ithaca"
"TLM01","Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Maccaffertium","Maccaffertium modestum","Maccaffertium modestum"
"TLM01","Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Stenacron","Stenacron interpunctatum","Stenacron interpunctatum"
"TLM01","Arthropoda","Insecta","Megaloptera","Corydalidae","Nigronia","Nigronia serricornis","Nigronia serricornis"
"TLM01","Annelida","Clitellata","Lumbriculida","Sparganophilidae","Sparganophilus",,"Sparganophilus"
"TLM01","Arthropoda","Insecta","Coleoptera","Elmidae","Stenelmis",,"Stenelmis"
"TLM01","Arthropoda","Insecta","Diptera","Simuliidae","Simulium",,"Simulium"
"TLM01","Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Stenacron","Stenacron pallidum","Stenacron pallidum"
"TLM01","Arthropoda","Insecta","Ephemeroptera","Leptophlebiidae","Habrophlebiodes","Habrophlebiodes americana","Habrophlebiodes americana"
"TLM01","Arthropoda","Insecta","Odonata","Cordulegastridae","Cordulegaster",,"Cordulegaster"
"TLM01","Arthropoda","Insecta","Plecoptera","Capniidae","Allocapnia",,"Allocapnia"
"TLM01","Arthropoda","Hexanauplia","Cyclopoida","Cyclopidae","Macrocyclops","Macrocyclops albidus","Macrocyclops albidus"
"TLM01","Arthropoda","Insecta","Coleoptera","Elmidae","Macronychus",,"Macronychus"
"TLM01","Arthropoda","Insecta","Diptera","Simuliidae",,,"Simuliidae"
"TLM01","Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Maccaffertium","Maccaffertium carlsoni","Maccaffertium carlsoni"
"TLM01","Arthropoda","Insecta","Plecoptera","Capniidae",,,"Capniidae"
"TLM01","Arthropoda","Insecta","Plecoptera",,,,"Plecoptera"
"TLM01","Arthropoda","Insecta","Diptera","Chironomidae","Parametriocnemus",,"Parametriocnemus"
"TLM01","Arthropoda","Insecta","Diptera","Empididae","Roederiodes",,"Roederiodes"
"TLM01","Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Ephemerella",,"Ephemerella"
"TLM01","Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Eurylophella",,"Eurylophella"
"TLM01","Arthropoda","Insecta","Ephemeroptera","Leptophlebiidae","Paraleptophlebia",,"Paraleptophlebia"
"TLM01","Annelida","Clitellata","Haplotaxida","Naididae","Nais",,"Nais"
"TLM01","Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium","Prosimulium mixtum","Prosimulium mixtum"
"TLM01","Arthropoda","Insecta","Diptera","Simuliidae","Stegopterna",,"Stegopterna"
"TLM01","Arthropoda","Insecta","Plecoptera","Perlidae","Eccoptura",,"Eccoptura"
"TLM01","Arthropoda","Insecta","Coleoptera","Elmidae","Oulimnius","Oulimnius latiusculus","Oulimnius latiusculus"
"TLM01","Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Epeorus",,"Epeorus"
"TLM01","Arthropoda","Insecta","Plecoptera","Chloroperlidae","Haploperla","Haploperla brevis","Haploperla brevis"
"TLM01","Arthropoda","Insecta","Plecoptera","Leuctridae","Leuctra","Leuctra tenuis","Leuctra tenuis"
"TLM01","Arthropoda","Insecta","Plecoptera","Peltoperlidae","Tallaperla",,"Tallaperla"
"TLM01","Arthropoda","Insecta","Plecoptera","Perlidae","Perlesta","Perlesta nelsoni","Perlesta nelsoni"
"TLM01","Arthropoda","Arachnida","Araneae","Tetragnathidae","Tetragnatha","Tetragnatha viridis","Tetragnatha viridis"
"TLM01","Arthropoda","Insecta","Coleoptera","Psephenidae","Ectopria",,"Ectopria"
"TLM01","Arthropoda","Insecta","Diptera","Chironomidae","Rheocricotopus",,"Rheocricotopus"
"TLM01","Arthropoda","Insecta","Diptera","Chironomidae","Thienemanniella","Thienemanniella xena","Thienemanniella xena"
"TLM01","Arthropoda","Insecta","Diptera","Dolichopodidae",,,"Dolichopodidae"
"TLM01","Arthropoda","Insecta","Ephemeroptera",,,,"Ephemeroptera"
"TLM01","Arthropoda","Insecta","Plecoptera","Leuctridae",,,"Leuctridae"
"TLM01","Arthropoda","Insecta","Trichoptera","Lepidostomatidae","Lepidostoma","Lepidostoma griseum","Lepidostoma griseum"
"TLM01","Arthropoda","Insecta","Trichoptera","Philopotamidae","Chimarra",,"Chimarra"
"TLM01","Annelida","Clitellata","Haplotaxida","Naididae","Nais","Nais variabilis","Nais variabilis"
"TLM01","Arthropoda","Insecta","Coleoptera","Psephenidae","Psephenus","Psephenus herricki","Psephenus herricki"
"TLM01","Arthropoda","Insecta","Diptera","Chironomidae","Parakiefferiella",,"Parakiefferiella"
"TLM01","Arthropoda","Insecta","Diptera","Chironomidae","Polypedilum","Polypedilum aviceps","Polypedilum aviceps"
"TLM01","Arthropoda","Insecta","Diptera","Chironomidae","Stempellinella","Stempellinella fimbriata","Stempellinella fimbriata"
"TLM01","Arthropoda","Insecta","Diptera","Chironomidae","Tribelos",,"Tribelos"
"TLM01","Arthropoda","Insecta","Diptera","Tipulidae","Tipula","Tipula abdominalis","Tipula abdominalis"
"TLM01","Arthropoda","Insecta","Odonata","Calopterygidae","Calopteryx",,"Calopteryx"
"TLM01","Arthropoda","Insecta","Odonata","Gomphidae","Gomphus","Gomphus lividus","Gomphus lividus"
"TLM01","Arthropoda","Insecta","Odonata","Gomphidae","Stylogomphus",,"Stylogomphus"
"TLM01","Arthropoda","Insecta","Plecoptera","Peltoperlidae","Tallaperla","Tallaperla cornelia","Tallaperla cornelia"
"TLM01","Arthropoda","Arachnida","Araneae","Dictynidae","Emblyna","Emblyna sublata","Emblyna sublata"
"TLM01","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Cryptocephalus","Cryptocephalus notatus","Cryptocephalus notatus"
"TLM01","Arthropoda","Insecta","Diptera","Chironomidae","Cricotopus",,"Cricotopus"
"TLM01","Arthropoda","Insecta","Diptera","Chironomidae","Paratendipes",,"Paratendipes"
"TLM01","Arthropoda","Insecta","Diptera","Chironomidae","Polypedilum","Polypedilum convictum","Polypedilum convictum"
"TLM01","Arthropoda","Insecta","Diptera","Psychodidae","Psychoda",,"Psychoda"
"TLM01","Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Attenella","Attenella attenuata","Attenella attenuata"
"TLM01","Arthropoda","Insecta","Ephemeroptera","Heptageniidae",,,"Heptageniidae"
"TLM01","Arthropoda","Insecta","Hemiptera","Veliidae","Rhagovelia",,"Rhagovelia"
"TLM01","Arthropoda","Insecta","Odonata","Corduliidae","Helocordulia","Helocordulia uhleri","Helocordulia uhleri"
"TLM01","Arthropoda","Insecta","Odonata","Gomphidae","Gomphus","Gomphus graslinellus","Gomphus graslinellus"
"TLM01","Arthropoda","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","Hydropsyche betteni","Hydropsyche betteni"
"TLM01","Arthropoda","Insecta","Trichoptera","Hydroptilidae","Hydroptila","Hydroptila talladega","Hydroptila talladega"
"TLM01","Arthropoda","Arachnida","Trombidiformes",,,,"Trombidiformes"
"TLM01","Arthropoda","Insecta","Diptera","Chironomidae","Cryptochironomus",,"Cryptochironomus"
"TLM01","Arthropoda","Insecta","Diptera","Chironomidae","Thienemannimyia",,"Thienemannimyia"
"TLM01","Arthropoda","Insecta","Hemiptera","Veliidae","Microvelia","Microvelia americana","Microvelia americana"
"TLM01","Arthropoda","Insecta","Odonata","Aeshnidae","Boyeria",,"Boyeria"
"TLM01","Arthropoda","Insecta","Plecoptera","Leuctridae","Leuctra",,"Leuctra"
"TLM01","Arthropoda","Insecta","Plecoptera","Perlidae","Eccoptura","Eccoptura xanthenes","Eccoptura xanthenes"
"TLM01","Arthropoda","Insecta","Diptera","Ceratopogonidae",,,"Ceratopogonidae"
"TLM01","Arthropoda","Insecta","Diptera","Chironomidae","Lauterborniella","Lauterborniella agrayloides","Lauterborniella agrayloides"
"TLM01","Arthropoda","Insecta","Trichoptera","Leptoceridae","Mystacides","Mystacides sepulchralis","Mystacides sepulchralis"
"TLM01","Arthropoda","Insecta","Ephemeroptera","Ephemeridae","Ephemera","Ephemera blanda","Ephemera blanda"
"TLM01","Arthropoda","Arachnida","Opiliones",,,,"Opiliones"
"TLM01","Arthropoda","Insecta","Coleoptera","Psephenidae","Psephenus",,"Psephenus"
"TLM01","Arthropoda","Insecta","Megaloptera","Sialidae","Sialis",,"Sialis"
"TLM01","Arthropoda","Insecta","Odonata","Gomphidae","Stylogomphus","Stylogomphus albistylus","Stylogomphus albistylus"
"TLM01","Arthropoda","Hexanauplia","Cyclopoida","Cyclopidae","Macrocyclops",,"Macrocyclops"
"TLM01","Arthropoda","Insecta","Diptera","Chironomidae","Ablabesmyia",,"Ablabesmyia"
"TLM01","Arthropoda","Insecta","Diptera","Chironomidae","Brillia",,"Brillia"
"TLM01","Arthropoda","Insecta","Diptera","Chironomidae","Corynoneura",,"Corynoneura"
"TLM01","Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Eurylophella","Eurylophella doris","Eurylophella doris"
"TLM01","Arthropoda","Insecta","Trichoptera","Leptoceridae","Triaenodes","Triaenodes ochraceus","Triaenodes ochraceus"
"TLM01","Arthropoda","Insecta","Odonata","Gomphidae","Stylogomphus","Stylogomphus sigmastylus","Stylogomphus sigmastylus"
"TLM01","Arthropoda","Malacostraca","Decapoda","Cambaridae","Cambarus",,"Cambarus"
"TLM01","Arthropoda","Malacostraca","Decapoda","Cambaridae",,,"Cambaridae"
"TLM01","Arthropoda","Insecta","Diptera","Chironomidae","Stempellinella",,"Stempellinella"
"TLM01","Arthropoda","Insecta","Plecoptera","Capniidae","Allocapnia","Allocapnia recta","Allocapnia recta"
"TLM01","Annelida","Clitellata","Haplotaxida","Naididae","Aulodrilus","Aulodrilus pluriseta","Aulodrilus pluriseta"
"TLM01","Arthropoda","Insecta","Trichoptera","Limnephilidae","Pycnopsyche","Pycnopsyche luculenta","Pycnopsyche luculenta"
